MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Zero_Crossing_Rate,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,label
-239.00494384765625,114.2353515625,43.33158874511719,13.56985569000244,14.23691749572754,19.86121940612793,19.17346572875977,15.883474349975586,14.586801528930664,13.434715270996094,9.273958206176758,6.088370323181152,5.935910701751709,2271.1532156417065,0.0086780379930394,0.91992449760437,0.9439195394515992,0.918842315673828,0.8733675479888916,0.8216837644577026,0.7600702047348022,0.6905339360237122,0.6604538559913635,0.65799480676651,0.6995168924331665,0.7611502408981323,0.8239938020706177,silence
-261.701904296875,117.0887451171875,39.99372863769531,11.598800659179688,17.286296844482422,19.919347763061523,16.021066665649414,12.511056900024414,11.291792869567873,10.92548370361328,9.743882179260254,9.127985000610352,9.096959114074709,2300.517261697033,0.0099865411107888,0.8722989559173584,0.9183109998703004,0.9134900569915771,0.8848425149917603,0.8457358479499817,0.8036057353019714,0.7448063492774963,0.6910340189933777,0.6618059277534485,0.6761149168014526,0.7262598872184753,0.7782050967216492,silence
-314.7876281738281,126.20338439941406,37.28583908081055,11.366230010986328,17.687896728515625,19.067140579223636,15.183558464050291,12.39480209350586,11.217937469482422,11.360549926757812,9.7395658493042,8.511585235595703,8.710047721862793,2039.1186081286112,0.0092105024651972,0.8492807149887085,0.8970845937728882,0.9041038751602172,0.8858943581581116,0.8534614443778992,0.8190106749534607,0.7531725764274597,0.6895523071289062,0.6590919494628906,0.6660230755805969,0.7102710008621216,0.7634596228599548,silence
-240.79177856445312,112.81841278076172,43.262298583984375,13.787410736083984,13.609898567199709,19.377763748168945,19.282155990600582,16.276853561401367,14.975845336914062,13.33816909790039,9.163804054260254,6.209220409393311,6.592429637908936,2259.037639384608,0.0082248767401392,0.9295703768730164,0.950392723083496,0.9190238118171692,0.8674006462097168,0.8111599683761597,0.7472650408744812,0.6771244406700134,0.6501749753952026,0.6522702574729919,0.699607789516449,0.7666822075843811,0.833911657333374,silence
-265.4201965332031,114.6515884399414,41.94100189208984,13.322815895080566,17.68027687072754,19.99452209472656,16.337038040161133,13.008578300476074,11.701278686523438,11.295890808105469,9.693798065185549,8.899681091308594,8.896361351013184,2283.5552709955664,0.0094790005075406,0.8825099468231201,0.931915283203125,0.9207597374916076,0.8781252503395081,0.8257780075073242,0.7746450304985046,0.7153130769729614,0.663655698299408,0.6405835747718811,0.6620889902114868,0.7198519110679626,0.7832539677619934,silence
-282.7764892578125,116.59100341796876,44.19096755981445,13.609538078308104,14.864858627319336,20.9180850982666,20.30520820617676,16.073801040649414,14.62507438659668,13.513691902160645,9.673027992248535,6.557816028594971,6.229545593261719,2144.500307279499,0.0080368148201856,0.9378292560577391,0.9408430457115172,0.9055376052856444,0.8525933623313904,0.7953919172286987,0.724929690361023,0.6724476218223572,0.6483939290046692,0.6637014746665955,0.7168834209442139,0.7769868969917297,0.8703884482383728,silence
-322.7908935546875,118.96087646484376,44.67811965942383,14.436423301696776,16.55101776123047,23.141706466674805,21.327577590942383,16.291900634765625,14.71742820739746,13.432628631591797,10.25289249420166,7.604893684387207,7.699053287506103,1911.5771725844183,0.0067419065400232,0.9231303334236144,0.9444347620010376,0.9152448177337646,0.864215612411499,0.806442379951477,0.7400422692298889,0.6675110459327698,0.6384336352348328,0.6390252113342285,0.6852759718894958,0.7552030086517334,0.8251176476478577,silence
-269.5939025878906,111.21278381347656,43.96703720092773,15.671419143676758,17.69634246826172,19.406902313232425,17.368995666503906,14.590079307556152,12.791014671325684,11.796116828918455,9.890860557556152,8.48287296295166,8.852777481079102,2312.0950413992955,0.0097101127465197,0.952117085456848,0.9272531270980836,0.8643109202384949,0.7944422364234924,0.7303369045257568,0.6631710529327393,0.618948757648468,0.6068747043609619,0.6424545645713806,0.7182263135910034,0.7986027598381042,0.9034823179244996,silence
-310.65594482421875,137.03634643554688,35.37635040283203,10.545557022094728,18.41951942443848,18.93659400939941,15.065922737121582,12.70982837677002,11.50110149383545,11.450495719909668,9.256318092346191,7.612019062042236,8.408673286437988,1743.33582482847,0.0080991244924593,0.8264697790145874,0.8774038553237915,0.8938924074172974,0.8890361189842224,0.8702629804611206,0.8427692651748657,0.7815366983413696,0.7179970145225525,0.6843454837799072,0.6802114844322205,0.7068127393722534,0.7464167475700378,silence
-343.8807983398437,131.66632080078125,42.22938537597656,15.665377616882324,19.33025932312012,21.91336250305176,17.96254539489746,14.863752365112305,15.461650848388672,14.901668548583984,10.59064769744873,8.577583312988281,10.862780570983888,1429.759130523672,0.0048805466937354,0.9625730514526368,0.9574280381202698,0.8909500241279602,0.8050323724746704,0.7254955768585205,0.6431299448013306,0.5597686171531677,0.5432285666465759,0.5677763819694519,0.6527837514877319,0.7678144574165344,0.871932327747345,silence
-312.5987548828125,126.41098022460938,44.90274429321289,15.58174991607666,17.824748992919922,22.687746047973636,19.241113662719727,15.215249061584473,15.084738731384276,14.261723518371582,10.694082260131836,9.127947807312012,10.947955131530762,1537.5396512052448,0.0050776718387471,0.960663080215454,0.9573139548301696,0.8968966007232666,0.8168039917945862,0.7398115992546082,0.6574855446815491,0.5756435990333557,0.5550909638404846,0.5768290758132935,0.6576806902885437,0.7679846286773682,0.8709897994995117,silence
-301.80938720703125,142.1703338623047,31.722148895263672,9.48930835723877,18.73438835144043,18.25673484802246,14.854662895202637,13.091574668884276,12.070902824401855,12.164801597595217,8.549943923950195,6.793496131896973,8.3607759475708,1603.2985694942286,0.007428445838167,0.8379441499710083,0.8795421719551086,0.8988903760910034,0.8996921181678772,0.8863369822502136,0.850689172744751,0.7761651873588562,0.730513334274292,0.7053830623626709,0.7003069519996643,0.7241418361663818,0.7497339844703674,silence
